FIPS,County,State,pm10,avg_temp,RUCC_2023,asthma_rate,ped_TOTAL_HOUSING_VULN,loc_Metro,loc_Rural-Adjacent,loc_Rural-Isolated,Final_Predicted_Rate,ML_Predicted_Asthma,Residual,Abs_Error,Test_Predicted_Rate,Test_Abs_Error,Error_Percentage
45021,Cherokee,South Carolina,13.658097559040353,61.254629629629626,6,59.44119245,0.3672994217081851,FALSE,TRUE,FALSE,53.15007280755725,53.89199090520801,5.549201539791987,5.549201539791987,53.15007280755725,6.291119637442748,10.583770914864841
45019,Charleston,South Carolina,16.140820584144645,67.16388888888889,2,69.76329133,0.19565240392467748,TRUE,FALSE,FALSE,71.56095832431588,71.35124893761036,-1.587957607,1.5879576066103596,71.56095832431588,1.7976669933158718,2.576809320515904
45017,Calhoun,South Carolina,14.855471113335982,65.51018519,2,66.47408903,0.2896892895015907,TRUE,FALSE,FALSE,63.34946900793302,63.50035853401489,2.973730492985112,2.973730492985112,63.34946900793302,3.124620019066988,4.700508220274897
45015,Berkeley,South Carolina,16.15778497626123,66.46851851851852,2,70.68728349,0.22657720044134738,TRUE,FALSE,FALSE,72.46275222170765,72.31972251937643,-1.632439028,1.6324390283764245,72.46275222170765,1.7754687307076438,2.5117229620709627
45013,Beaufort,South Carolina,15.916633911150244,68.13888888888889,3,57.782007,0.1346090848713673,TRUE,FALSE,FALSE,70.63720394,67.98483982020512,-10.20283282,10.20283282320512,70.63720394,12.85519694446679,22.247750835539897
45011,Barnwell,South Carolina,15.091072036963771,65.52870370370371,8,55.88577974,0.5017130683193725,FALSE,TRUE,FALSE,111.26728035908208,103.85581456496978,-47.97003482,47.97003482496978,111.26728035908208,55.38150061908208,99.09766111654163
45009,Bamberg,South Carolina,15.210333585818429,65.37222222222222,9,86.39451296,0.46786166829439313,FALSE,FALSE,TRUE,102.47248403570201,87.76210035506702,-1.367587396,1.367587396067023,102.47248403570201,16.077971076702013,18.60994469
45007,Anderson,South Carolina,14.979519220983212,62.73796296296296,2,36.25476273,0.24285323386803695,TRUE,FALSE,FALSE,53.54502490050348,52.368101370083195,-16.11333864,16.113338640083192,53.54502490050348,17.290262170503475,47.69100903864466
45005,Allendale,South Carolina,15.330189817332831,65.74166666666667,8,113.036493,0.5303604607952435,FALSE,TRUE,FALSE,112.99595673331494,113.09952733525414,-0.063034335,0.063034335,112.99595673331494,0.040536267,0.035861221105870804
45003,Aiken,South Carolina,14.880897217242495,65.46481481481482,2,33.24601509,0.2567586528798079,TRUE,FALSE,FALSE,62.49921747,60.52379295208697,-27.27777786,27.27777786208697,62.49921747,29.253202377841802,87.99010137
45001,Abbeville,South Carolina,15.077089694440838,63.38425925925926,6,63.25978431,0.28460592345933783,FALSE,TRUE,FALSE,64.35941912719642,64.25139723162819,-0.991612925,0.9916129246281926,64.35941912719642,1.099634820196421,1.738284175709308
